cluster_id,disposition,target,classification,commune,arrondissement,n_nodes,road_length_m,centroid_lat,centroid_lng,nearest_chef_name,nearest_chef_dist_m,nearest_same_commune_chef_name,nearest_same_commune_chef_dist_m,water_separation,bridge_present,graph_component_size,dist_to_commune_boundary_m,resolution_action
0,NEW_CHEF_LIEU_SEED,,Missing chef-lieu coverage,Abomey-Calavi,Abomey-Calavi / Akassato,75,2063.5,6.538928,2.401616,Agassa-Godomey,4123.4,Agassa-Godomey,4123.4,False,False,90099,700.1,"Cluster of 75 nodes (2064 m road) in Abomey-Calavi / Akassato; nearest same-commune chef (Agassa-Godomey) is 4123 m away — IGN list is missing a chef-lieu point for this area. Propose seed at (lat=6.538928, lng=2.401616)."
1,NEW_CHEF_LIEU_SEED,,Water-isolated pocket,Abomey-Calavi,Abomey-Calavi / Zinvié,50,2046.6,6.617048,2.408749,Gbodjè,3484.7,Gbodjè,3484.7,True,False,90,600.9,"Water-isolated settlement of 50 nodes (2047 m of road) in Abomey-Calavi / Zinvié, 3485 m from the nearest chef (Gbodjè) across major water with no bridge. Propose new chef-lieu at (lat=6.617048, lng=2.408749)."
2,NEW_CHEF_LIEU_SEED,,Water-isolated pocket,Abomey-Calavi (buffer),So-Ava / Ganvié II,39,1647.4,6.474541,2.392152,Houèkè-Gbo,3597.1,Houèkè-Gbo,3597.1,True,False,62,85.4,"Water-isolated settlement of 39 nodes (1647 m of road) in So-Ava / Ganvié II, 3597 m from the nearest chef (Houèkè-Gbo) across major water with no bridge. Propose new chef-lieu at (lat=6.474541, lng=2.392152)."
3,NEW_CHEF_LIEU_SEED,,Water-isolated pocket,Abomey-Calavi (buffer),So-Ava / Ahomè-Lokpo,35,904.8,6.56292,2.402966,Gbodjè,3989.9,Gbodjè,3989.9,True,False,36,89.4,"Water-isolated settlement of 35 nodes (905 m of road) in So-Ava / Ahomè-Lokpo, 3990 m from the nearest chef (Gbodjè) across major water with no bridge. Propose new chef-lieu at (lat=6.562920, lng=2.402966)."
4,BRIDGE_CROSSING_REQUIRED,"Sèdjannako
",Missing bridge crossing,Abomey-Calavi,Abomey-Calavi / Godomey,33,1507.8,6.389233,2.356015,"Sèdjannako
",459.7,"Sèdjannako
",459.7,True,True,90099,1116.6,"Whitelist the bridge near cluster centroid so Sèdjannako
 (≈ 460 m away) can claim these 33 nodes across the water. Fix is in the graph build (water-aware merge currently refuses the bridge edge): exempt OSM ways with `bridge=yes`/`cantilever` from the cross-water veto."
5,NEW_CHEF_LIEU_SEED,,Water-isolated pocket,Abomey-Calavi,Abomey-Calavi / Akassato,25,1097.0,6.502242,2.399531,Akassato,3890.9,Akassato,3890.9,True,False,43,555.7,"Water-isolated settlement of 25 nodes (1097 m of road) in Abomey-Calavi / Akassato, 3891 m from the nearest chef (Akassato) across major water with no bridge. Propose new chef-lieu at (lat=6.502242, lng=2.399531)."
6,NEW_CHEF_LIEU_SEED,,Water-isolated pocket,Abomey-Calavi (buffer),Adjohoun / Togbota,23,558.5,6.685446,2.429939,Bozoun,4117.4,Bozoun,4117.4,True,False,123,557.4,"Water-isolated settlement of 23 nodes (558 m of road) in Adjohoun / Togbota, 4117 m from the nearest chef (Bozoun) across major water with no bridge. Propose new chef-lieu at (lat=6.685446, lng=2.429939)."
7,NEW_CHEF_LIEU_SEED,,Water-isolated pocket,Abomey-Calavi,Abomey-Calavi / Zinvié,22,482.4,6.603959,2.406312,Gbodjè,2417.7,Gbodjè,2417.7,True,False,90,181.0,"Water-isolated settlement of 22 nodes (482 m of road) in Abomey-Calavi / Zinvié, 2418 m from the nearest chef (Gbodjè) across major water with no bridge. Propose new chef-lieu at (lat=6.603959, lng=2.406312)."
8,EXCLUDED_AREA,,OSM graph fragmentation,Abomey-Calavi (buffer),Ouidah / Pahou,19,625.9,6.36231,2.242771,Cococodji,4322.9,Cococodji,4322.9,True,False,20,27.9,Tiny disconnected component of 20 nodes on the far side of major water from any chef. Accept as un-routable hinterland.
9,NEW_CHEF_LIEU_SEED,,Missing chef-lieu coverage,Abomey-Calavi,Abomey-Calavi / Kpanroun,16,596.3,6.666437,2.400027,Bozoun,2116.8,Bozoun,2116.8,False,False,34,1966.0,"Cluster of 16 nodes (596 m road) in Abomey-Calavi / Kpanroun; nearest same-commune chef (Bozoun) is 2117 m away — IGN list is missing a chef-lieu point for this area. Propose seed at (lat=6.666437, lng=2.400027)."
10,NEW_CHEF_LIEU_SEED,,Missing chef-lieu coverage,Abomey-Calavi,Abomey-Calavi / Kpanroun,13,605.7,6.66997,2.399979,Bozoun,1758.3,Bozoun,1758.3,False,False,34,1577.5,"Cluster of 13 nodes (606 m road) in Abomey-Calavi / Kpanroun; nearest same-commune chef (Bozoun) is 1758 m away — IGN list is missing a chef-lieu point for this area. Propose seed at (lat=6.669970, lng=2.399979)."
11,NEW_CHEF_LIEU_SEED,,Missing chef-lieu coverage,Abomey-Calavi (buffer),Tori-Bossito / Avamè,13,496.3,6.510124,2.239607,Dassèkomey,2782.4,Dassèkomey,2782.4,False,False,37,513.1,"Cluster of 13 nodes (496 m road) in Tori-Bossito / Avamè; nearest same-commune chef (Dassèkomey) is 2782 m away — IGN list is missing a chef-lieu point for this area. Propose seed at (lat=6.510124, lng=2.239607)."
12,NEW_CHEF_LIEU_SEED,,Missing chef-lieu coverage,Abomey-Calavi,Abomey-Calavi / Akassato,12,405.9,6.531313,2.402783,Glo-Tokpa,4375.2,Glo-Tokpa,4375.2,False,True,90099,590.6,"Cluster of 12 nodes (406 m road) in Abomey-Calavi / Akassato; nearest same-commune chef (Glo-Tokpa) is 4375 m away — IGN list is missing a chef-lieu point for this area. Propose seed at (lat=6.531313, lng=2.402783)."
13,ANNEX_TO_NEAREST_CHEF,"Ganganzounmè
",OSM graph fragmentation,Abomey-Calavi,Abomey-Calavi / Godomey,12,337.3,6.369402,2.300493,"Ganganzounmè
",527.9,"Ganganzounmè
",527.9,False,False,12,3015.3,"Tiny component of 12 nodes; too small to justify a chef-lieu and too far (528 m) to be a clean OSM fix. Post-pass attribution: assign all 12 nodes to Ganganzounmè
."
14,BRIDGE_CROSSING_REQUIRED,Houèkè-Gbo,Missing bridge crossing,Abomey-Calavi (buffer),So-Ava / So-Ava,12,340.1,6.494116,2.405962,Houèkè-Gbo,4543.6,Houèkè-Gbo,4543.6,True,True,63,441.1,Whitelist the bridge near cluster centroid so Houèkè-Gbo (≈ 4544 m away) can claim these 12 nodes across the water. Fix is in the graph build (water-aware merge currently refuses the bridge edge): exempt OSM ways with `bridge=yes`/`cantilever` from the cross-water veto.
15,ANNEX_TO_NEAREST_CHEF,Gbodjè,Unknown,Abomey-Calavi,Abomey-Calavi / Zinvié,11,359.2,6.603555,2.388703,Gbodjè,996.0,Gbodjè,996.0,False,True,90099,1963.6,"Edge-of-territory cluster in the main graph (comp=90099), no water in the way, nearest chef Gbodjè is 996 m. Post-pass attribution."
16,EXCLUDED_AREA,,OSM graph fragmentation,Abomey-Calavi,Abomey-Calavi / Akassato,11,331.7,6.496995,2.40011,Houèkè-Gbo,3927.8,Houèkè-Gbo,3927.8,True,True,3,276.8,Tiny disconnected component of 3 nodes on the far side of major water from any chef. Accept as un-routable hinterland.
17,BRIDGE_CROSSING_REQUIRED,Djèkpota,Missing bridge crossing,Abomey-Calavi (buffer),Ouidah / Pahou,11,276.8,6.356169,2.265252,Djèkpota,2518.0,Djèkpota,2518.0,True,True,90099,576.9,Whitelist the bridge near cluster centroid so Djèkpota (≈ 2518 m away) can claim these 11 nodes across the water. Fix is in the graph build (water-aware merge currently refuses the bridge edge): exempt OSM ways with `bridge=yes`/`cantilever` from the cross-water veto.
18,NEW_CHEF_LIEU_SEED,,Water-isolated pocket,Abomey-Calavi,Abomey-Calavi / Akassato,11,574.2,6.507259,2.403835,Akassato,4344.0,Akassato,4344.0,True,False,43,267.4,"Water-isolated settlement of 11 nodes (574 m of road) in Abomey-Calavi / Akassato, 4344 m from the nearest chef (Akassato) across major water with no bridge. Propose new chef-lieu at (lat=6.507259, lng=2.403835)."
19,NEW_CHEF_LIEU_SEED,,Water-isolated pocket,Abomey-Calavi,Abomey-Calavi / Akassato,10,368.1,6.487169,2.39818,Houèkè-Gbo,3721.8,Houèkè-Gbo,3721.8,True,False,62,100.4,"Water-isolated settlement of 10 nodes (368 m of road) in Abomey-Calavi / Akassato, 3722 m from the nearest chef (Houèkè-Gbo) across major water with no bridge. Propose new chef-lieu at (lat=6.487169, lng=2.398180)."
